customer_id,age,job,marital,education,default,housing,loan,contact,month,day_of_week,duration,campaign,pdays,previous,poutcome,emp_var_rate,cons_price_idx,cons_conf_idx,euribor3m,nr_employed,subscribed
customer_id_39075,31,admin.,married,university.degree,no,no,no,cellular,dec,mon,1.283333333,3,999,1,failure,-2.97,46.3565,-23.1,1.711,5023.5,0
customer_id_34855,31,technician,single,university.degree,no,no,no,telephone,may,fri,0.2,4,999,0,nonexistent,-1.77,46.4465,-32.34,2.252,5099.1,0
customer_id_7107,47,blue-collar,married,basic.6y,unknown,yes,no,telephone,may,thu,4.616666667,2,999,0,nonexistent,1.13,46.997,-25.48,5.862,5191,0
customer_id_31614,36,services,married,university.degree,no,no,no,cellular,may,thu,1.166666667,1,999,1,failure,-1.77,46.4465,-32.34,2.329,5099.1,0
customer_id_34878,34,admin.,single,high.school,no,no,no,cellular,may,fri,19.68333333,9,999,0,nonexistent,-1.77,46.4465,-32.34,2.252,5099.1,0
customer_id_24606,48,entrepreneur,married,university.degree,no,yes,yes,cellular,nov,mon,1.3,2,999,1,failure,-0.07,46.6,-29.4,5.193,5195.8,0
customer_id_13094,34,blue-collar,single,basic.4y,unknown,no,no,cellular,jul,tue,2.366666667,2,999,0,nonexistent,1.43,46.959,-29.89,5.964,5228.1,0
customer_id_36912,34,technician,single,professional.course,no,no,no,cellular,jun,mon,8.733333333,1,999,0,nonexistent,-2.87,46.4815,-28.56,2.217,5076.2,0
customer_id_27834,39,unemployed,single,university.degree,no,yes,no,cellular,mar,fri,7.2,1,999,0,nonexistent,-1.77,46.4215,-35,2.642,5099.1,0
customer_id_9302,40,technician,single,professional.course,no,unknown,unknown,telephone,jun,fri,0.983333333,3,999,0,nonexistent,1.43,47.2325,-29.26,5.969,5228.1,0
customer_id_31160,43,blue-collar,single,basic.9y,no,yes,yes,cellular,may,wed,6.1,1,999,0,nonexistent,-1.77,46.4465,-32.34,2.336,5099.1,0
customer_id_22809,55,housemaid,married,unknown,no,yes,no,cellular,aug,mon,2.533333333,2,999,0,nonexistent,1.43,46.722,-25.27,5.967,5228.1,0
customer_id_31795,29,blue-collar,single,basic.9y,unknown,yes,no,cellular,may,thu,1.833333333,1,999,0,nonexistent,-1.77,46.4465,-32.34,2.329,5099.1,0
customer_id_9333,40,blue-collar,married,high.school,unknown,unknown,unknown,telephone,jun,fri,1.7,1,999,0,nonexistent,1.43,47.2325,-29.26,5.969,5228.1,0
customer_id_16750,29,services,single,high.school,no,yes,no,cellular,jul,thu,2.466666667,1,999,0,nonexistent,1.43,46.959,-29.89,5.964,5228.1,0
customer_id_26843,40,management,married,university.degree,no,yes,no,cellular,nov,thu,3.033333333,2,999,0,nonexistent,-0.07,46.6,-29.4,5.078,5195.8,0
customer_id_30667,38,blue-collar,married,basic.9y,unknown,yes,no,cellular,may,tue,0.65,5,999,0,nonexistent,-1.77,46.4465,-32.34,2.346,5099.1,0
customer_id_13405,36,admin.,married,high.school,no,no,yes,cellular,jul,wed,7.2,1,999,0,nonexistent,1.43,46.959,-29.89,5.964,5228.1,0
customer_id_14518,30,blue-collar,single,basic.4y,unknown,no,no,cellular,jul,tue,1.116666667,5,999,0,nonexistent,1.43,46.959,-29.89,5.963,5228.1,0
customer_id_5245,48,management,married,university.degree,no,yes,no,telephone,may,fri,4.3,5,999,0,nonexistent,1.13,46.997,-25.48,5.859,5191,0
customer_id_1715,47,unemployed,married,high.school,unknown,no,no,telephone,may,fri,9.083333333,2,999,0,nonexistent,1.13,46.997,-25.48,5.857,5191,0
customer_id_27346,53,admin.,married,university.degree,no,no,yes,cellular,nov,fri,3.666666667,1,999,0,nonexistent,-0.07,46.6,-29.4,5.023,5195.8,0
customer_id_20496,37,unemployed,married,university.degree,no,no,no,cellular,aug,tue,1.95,2,999,0,nonexistent,1.43,46.722,-25.27,5.968,5228.1,0
customer_id_41005,65,unknown,married,professional.course,no,no,no,cellular,oct,thu,3.916666667,1,6,1,success,-1.07,47.3005,-34.65,2.027,4963.6,0
customer_id_15709,38,blue-collar,married,basic.9y,no,no,no,cellular,jul,mon,14.21666667,1,999,0,nonexistent,1.43,46.959,-29.89,5.962,5228.1,0
customer_id_29276,51,technician,married,unknown,no,no,no,cellular,apr,fri,6.3,1,999,0,nonexistent,-1.77,46.5375,-32.97,2.407,5099.1,1
customer_id_29288,42,blue-collar,single,basic.6y,unknown,yes,no,cellular,apr,fri,2.583333333,3,999,1,failure,-1.77,46.5375,-32.97,2.407,5099.1,0
customer_id_28971,36,blue-collar,divorced,basic.4y,no,yes,no,cellular,apr,fri,6.766666667,1,999,1,failure,-1.77,46.5375,-32.97,2.407,5099.1,0
customer_id_19832,36,admin.,married,university.degree,no,yes,no,cellular,aug,fri,1.333333333,1,999,0,nonexistent,1.43,46.722,-25.27,5.968,5228.1,0
customer_id_11176,42,services,married,unknown,unknown,no,no,telephone,jun,thu,0.733333333,6,999,0,nonexistent,1.43,47.2325,-29.26,5.963,5228.1,0
customer_id_5220,30,blue-collar,single,basic.9y,unknown,no,yes,telephone,may,fri,2.283333333,1,999,0,nonexistent,1.13,46.997,-25.48,5.859,5191,0
customer_id_36604,52,technician,single,professional.course,no,yes,yes,cellular,jun,thu,2.666666667,1,999,1,failure,-2.87,46.4815,-28.56,2.262,5076.2,1
customer_id_15031,26,services,single,high.school,no,no,no,cellular,jul,thu,0.333333333,3,999,0,nonexistent,1.43,46.959,-29.89,5.96,5228.1,0
customer_id_23712,34,admin.,single,university.degree,no,yes,no,cellular,aug,thu,0.983333333,9,999,0,nonexistent,1.43,46.722,-25.27,5.964,5228.1,0
customer_id_31142,39,admin.,married,university.degree,no,no,no,cellular,may,wed,3.466666667,1,999,1,failure,-1.77,46.4465,-32.34,2.336,5099.1,0
customer_id_40049,45,self-employed,married,university.degree,no,no,no,cellular,jul,tue,6.433333333,3,999,1,failure,-1.67,47.1075,-28.21,1.799,4991.6,1
customer_id_15468,55,services,divorced,basic.9y,no,yes,no,cellular,jul,fri,8.383333333,2,999,0,nonexistent,1.43,46.959,-29.89,5.959,5228.1,0
customer_id_11389,53,admin.,married,high.school,no,no,no,telephone,jun,fri,0.366666667,12,999,0,nonexistent,1.43,47.2325,-29.26,5.961,5228.1,0
customer_id_795,38,services,single,unknown,no,yes,no,telephone,may,wed,5.433333333,1,999,0,nonexistent,1.13,46.997,-25.48,5.858,5191,0
customer_id_581,32,blue-collar,married,basic.4y,no,no,no,telephone,may,tue,1.866666667,2,999,0,nonexistent,1.13,46.997,-25.48,5.859,5191,0
customer_id_2157,40,blue-collar,married,basic.6y,no,no,no,telephone,may,mon,2.95,3,999,0,nonexistent,1.13,46.997,-25.48,5.859,5191,0
customer_id_5673,33,blue-collar,married,basic.6y,unknown,yes,yes,telephone,may,mon,2.683333333,1,999,0,nonexistent,1.13,46.997,-25.48,5.859,5191,0
customer_id_12908,36,technician,single,university.degree,no,no,no,cellular,jul,tue,2.65,2,999,0,nonexistent,1.43,46.959,-29.89,5.964,5228.1,0
customer_id_20549,34,technician,single,university.degree,no,no,no,cellular,aug,tue,7.2,3,999,0,nonexistent,1.43,46.722,-25.27,5.968,5228.1,1
customer_id_29876,35,technician,single,professional.course,no,no,no,cellular,apr,mon,1.15,3,999,0,nonexistent,-1.77,46.5375,-32.97,2.407,5099.1,0
customer_id_28162,34,blue-collar,married,basic.9y,no,unknown,unknown,cellular,apr,mon,17.71666667,1,999,0,nonexistent,-1.77,46.5375,-32.97,2.468,5099.1,1
